logKd,PH,Salinity,Temperature,Water Type
4.3,6.0,0.0,21.0,DI
5.083,6.0,0.0,25.0,DI
5.301,6.0,0.0,25.0,DI
4.98,8.1,0.5,12.0,Seawater
5.09,8.1,0.5,12.0,Seawater
5.09,8.1,0.5,12.0,Seawater
5.14,8.1,0.5,12.0,Seawater
5.63,8.1,0.5,12.0,Seawater
5.26,8.1,0.5,12.0,Seawater
5.71,8.1,0.5,12.0,Seawater
5.77,8.1,0.5,12.0,Seawater
5.51,8.1,0.5,12.0,Seawater
5.26,8.1,0.5,12.0,Seawater
5.63,8.1,0.5,12.0,Seawater
5.51,8.1,0.5,12.0,Seawater
6.19,8.1,0.5,12.0,Seawater
6.06,8.1,0.5,12.0,Seawater
6.19,8.1,0.5,12.0,Seawater
5.77,8.1,0.5,12.0,Seawater
4.5,6.0,0.0,25.0,DI
4.21,6.0,0.0,25.0,DI
4.42,6.0,0.0,25.0,DI
2.75,6.0,0.03,25.0,Freshwater
2.45,7.0,0.0,25.0,DI
1.95,7.0,0.0,25.0,DI
2.21,7.0,0.0,25.0,DI
0.08,5.85,0.0,25.0,DI
2.78,5.85,0.0,25.0,DI
0.9,5.85,0.0,25.0,DI
1.27,5.85,0.0,25.0,DI
3.0,5.85,0.0,25.0,DI
1.77,5.85,0.0,25.0,DI
-0.94,7.0,0.0,25.0,DI
-0.14,7.0,0.0,25.0,DI
4.37,7.23,0.0036,25.0,SF
4.37,7.23,0.0036,25.0,F
4.34,7.23,0.0036,25.0,SF
3.9,7.23,0.0036,25.0,F
3.74,7.23,0.0036,25.0,SF
4.06,7.23,0.0036,25.0,F
4.46,7.23,0.0036,25.0,SF
4.6,7.23,0.0036,25.0,F
4.26,7.23,0.0036,25.0,SF
4.66,7.23,0.0036,25.0,F
4.36,7.23,0.0036,25.0,SF
4.43,7.23,0.0036,25.0,F
3.92,7.23,0.0036,25.0,SF
4.24,7.23,0.0036,25.0,F
3.74,7.23,0.0036,25.0,SF
3.94,7.23,0.0036,25.0,F
4.31,7.23,0.0036,25.0,SF
4.44,7.23,0.0036,25.0,F
4.36,7.23,0.0036,25.0,SF
4.65,7.23,0.0036,25.0,F
4.38,7.23,0.0036,25.0,SF
4.65,7.23,0.0036,25.0,F
4.25,7.23,0.0036,25.0,SF
4.78,7.23,0.0036,25.0,F
3.9,7.23,0.0036,25.0,SF
4.21,7.23,0.0036,25.0,F
3.74,7.23,0.0036,25.0,SF
4.08,7.23,0.0036,25.0,F
4.21,7.23,0.0036,25.0,SF
4.45,7.23,0.0036,25.0,F
4.48,7.23,0.0036,25.0,SF
4.61,7.23,0.0036,25.0,F
4.55,7.23,0.0036,25.0,SF
4.64,7.23,0.0036,25.0,F
4.6,7.23,0.0036,25.0,SF
4.81,7.23,0.0036,25.0,F
1.16,8.0,0.0,25.0,DI
1.2,7.9,0.7,25.0,S
1.17,8.0,0.005,25.0,F
1.61,8.0,0.0,25.0,DI
1.48,7.9,0.7,25.0,S
1.39,8.0,0.005,25.0,F
1.16,8.0,0.0,25.0,DI
0.89,7.9,0.7,25.0,S
0.8,8.0,0.005,25.0,F
4.01,7.0,0.0,25.0,DI
3.71,7.0,0.0,25.0,DI
1.18,6.0,0.03,25.0,DI
3.26,6.0,0.03,25.0,DI
3.19,6.0,0.03,25.0,DI
0.76,6.0,0.03,25.0,DI
2.59,6.0,0.03,25.0,DI
3.91,6.0,0.03,25.0,DI
0.86,6.0,0.03,25.0,DI
1.81,6.0,0.03,25.0,DI
0.96,6.0,0.03,25.0,DI
2.1,6.0,0.03,25.0,DI
3.36,6.0,0.03,25.0,DI
3.16,6.0,0.03,25.0,DI
1.67,6.0,0.03,25.0,DI
1.47,6.0,0.03,25.0,DI
2.42,6.0,0.03,25.0,DI
2.23,6.0,0.03,25.0,DI
3.2,6.0,0.03,25.0,DI
2.55,6.0,0.03,25.0,DI
0.66,6.0,0.03,25.0,DI
4.02,6.0,0.03,25.0,DI
3.64,6.0,0.03,25.0,DI
