logKd,LogKow,E,S,A,B,V
4.98,4.93,2.81,1.71,0.0,0.28,1.5846
4.99,4.93,2.81,1.71,0.0,0.28,1.5846
3.47,3.17,1.34,0.92,0.0,0.2,1.0854
3.44,3.17,1.34,0.92,0.0,0.2,1.0854
3.65,4.02,1.59,1.06,0.0,0.25,1.3565
3.59,4.02,1.59,1.06,0.0,0.25,1.3565
3.7,4.8,2.38,1.55,0.0,0.24,1.5846
3.74,4.8,2.38,1.55,0.0,0.24,1.5846
3.77,4.93,2.81,1.71,0.0,0.28,1.5846
3.83,4.93,2.81,1.71,0.0,0.28,1.5846
2.93,3.17,1.34,0.92,0.0,0.2,1.0854
2.99,3.17,1.34,0.92,0.0,0.2,1.0854
2.85,4.02,1.59,1.06,0.0,0.25,1.3565
2.86,4.02,1.59,1.06,0.0,0.25,1.3565
2.92,4.8,2.38,1.55,0.0,0.24,1.5846
2.92,4.8,2.38,1.55,0.0,0.24,1.5846
3.12,4.93,2.81,1.71,0.0,0.28,1.5846
3.13,4.93,2.81,1.71,0.0,0.28,1.5846
3.89,4.35,2.06,1.29,0.0,0.29,1.4544
3.65,4.35,2.06,1.29,0.0,0.29,1.4544
3.42,4.35,2.06,1.29,0.0,0.29,1.4544
3.92,4.35,2.06,1.29,0.0,0.29,1.4544
3.89,4.35,2.06,1.29,0.0,0.29,1.4544
3.81,4.35,2.06,1.29,0.0,0.29,1.4544
3.42,4.35,2.06,1.29,0.0,0.29,1.4544
1.76,1.51,0.81,0.89,0.6,0.3,0.7751
3.41,4.35,2.06,1.29,0.0,0.29,1.4544
3.38,4.35,2.06,1.29,0.0,0.29,1.4544
1.53,1.51,0.81,0.89,0.6,0.3,0.7751
4.18,4.35,2.06,1.29,0.0,0.29,1.4544
2.01,1.81,0.87,1.11,0.0,0.28,0.8906
2.55,3.17,1.34,0.92,0.0,0.2,1.0854
4.06,4.35,2.06,1.29,0.0,0.29,1.4544
1.57,1.81,0.87,1.11,0.0,0.28,0.8906
2.87,3.17,1.34,0.92,0.0,0.2,1.0854
4.35,4.35,2.06,1.29,0.0,0.29,1.4544
2.97,1.81,0.87,1.11,0.0,0.28,0.8906
3.06,3.17,1.34,0.92,0.0,0.2,1.0854
4.25,4.35,2.06,1.29,0.0,0.29,1.4544
3.19,1.81,0.87,1.11,0.0,0.28,0.8906
4.05,3.17,1.34,0.92,0.0,0.2,1.0854
2.8,4.35,2.06,1.29,0.0,0.29,1.4544
2.26,1.81,0.87,1.11,0.0,0.28,0.8906
2.79,3.17,1.34,0.92,0.0,0.2,1.0854
3.02,6.57,1.94,1.44,0.0,0.11,1.8138
2.7,6.57,1.94,1.44,0.0,0.11,1.8138
3.06,3.94,1.8,1.77,0.86,1.1,2.1988
3.29,3.94,1.8,1.77,0.86,1.1,2.1988
3.1,4.12,2.01,2.34,0.98,1.23,2.3946
3.02,4.12,2.01,2.34,0.98,1.23,2.3946
2.72,2.81,1.97,1.74,1.06,1.63,2.2575
2.77,2.81,1.97,1.74,1.06,1.63,2.2575
5.18,4.93,2.81,1.71,0.0,0.28,1.5846
4.28,4.35,2.06,1.29,0.0,0.29,1.4544
2.26,2.99,1.6,1.59,0.0,0.29,1.2596
2.81,2.25,1.67,1.26,0.2,0.57,1.1852
1.94,2.82,1.22,1.29,0.17,1.01,1.6196
5.21,4.93,2.81,1.71,0.0,0.28,1.5846
4.56,4.35,2.06,1.29,0.0,0.29,1.4544
2.95,2.99,1.6,1.59,0.0,0.29,1.2596
2.77,2.25,1.67,1.26,0.2,0.57,1.1852
1.82,2.82,1.22,1.29,0.17,1.01,1.6196
3.03,2.99,1.6,1.59,0.0,0.29,1.2596
3.03,2.25,1.67,1.26,0.2,0.57,1.1852
1.95,2.82,1.22,1.29,0.17,1.01,1.6196
4.11,4.93,2.81,1.71,0.0,0.28,1.5846
2.8,4.35,2.06,1.29,0.0,0.29,1.4544
3.27,2.99,1.6,1.59,0.0,0.29,1.2596
2.79,2.25,1.67,1.26,0.2,0.57,1.1852
3.91,-0.31,1.98,2.5,0.05,2.39,2.2724
3.95,-0.31,1.98,2.5,0.05,2.39,2.2724
0.19,0.0,2.2,2.34,0.7,2.52,2.3047
0.17,-0.31,1.98,2.5,0.05,2.39,2.2724
0.14,2.6,1.84,1.43,0.44,1.31,2.148
-0.73,1.17,1.63,1.64,0.85,2.34,2.4923
-0.56,-1.28,3.7,3.22,1.77,3.35,3.2197
1.66,4.35,2.06,1.29,0.0,0.29,1.4544
2.39,4.35,2.06,1.29,0.0,0.29,1.4544
-0.18,0.0,2.2,2.34,0.7,2.52,2.3047
0.12,-0.31,1.98,2.5,0.05,2.39,2.2724
0.3,2.6,1.84,1.43,0.44,1.31,2.148
-1.02,1.17,1.63,1.64,0.85,2.34,2.4923
-0.72,-0.81,0.72,0.84,0.57,1.02,0.7693
-1.05,0.0,2.2,2.34,0.7,2.52,2.3047
0.19,-0.31,1.98,2.5,0.05,2.39,2.2724
0.33,2.6,1.84,1.43,0.44,1.31,2.148
-0.74,1.17,1.63,1.64,0.85,2.34,2.4923
-1.05,-0.81,0.72,0.84,0.57,1.02,0.7693
0.19,4.35,2.06,1.29,0.0,0.29,1.4544
2.29,4.35,2.06,1.29,0.0,0.29,1.4544
-0.15,0.0,2.2,2.34,0.7,2.52,2.3047
-0.25,-0.31,1.98,2.5,0.05,2.39,2.2724
0.26,2.6,1.84,1.43,0.44,1.31,2.148
-0.85,1.17,1.63,1.64,0.85,2.34,2.4923
-0.85,-0.81,0.72,0.84,0.57,1.02,0.7693
-0.85,-1.28,3.7,3.22,1.77,3.35,3.2197
1.35,4.35,2.06,1.29,0.0,0.29,1.4544
2.41,4.35,2.06,1.29,0.0,0.29,1.4544
2.09,6.77,2.32,1.45,0.0,0.34,2.0829
2.36,6.77,2.32,1.45,0.0,0.34,2.0829
2.41,6.77,2.32,1.45,0.0,0.34,2.0829
1.97,6.77,2.32,1.45,0.0,0.34,2.0829
2.45,6.77,2.32,1.45,0.0,0.34,2.0829
2.51,6.77,2.32,1.45,0.0,0.34,2.0829
2.56,6.77,2.32,1.45,0.0,0.34,2.0829
2.67,6.77,2.32,1.45,0.0,0.34,2.0829
2.73,6.77,2.32,1.45,0.0,0.34,2.0829
2.32,6.77,2.32,1.45,0.0,0.34,2.0829
2.59,6.77,2.32,1.45,0.0,0.34,2.0829
2.64,6.77,2.32,1.45,0.0,0.34,2.0829
2.51,0.48,1.89,2.23,0.58,1.29,1.7244
1.46,0.48,1.89,2.23,0.58,1.29,1.7244
1.49,0.48,1.89,2.23,0.58,1.29,1.7244
1.49,0.48,1.89,2.23,0.58,1.29,1.7244
1.59,0.48,1.89,2.23,0.58,1.29,1.7244
1.44,0.48,1.89,2.23,0.58,1.29,1.7244
2.77,7.2,2.61,2.05,0.78,0.58,2.5643
2.95,7.2,2.61,2.05,0.78,0.58,2.5643
3.38,7.2,2.61,2.05,0.78,0.58,2.5643
3.91,7.2,2.61,2.05,0.78,0.58,2.5643
0.85,3.79,0.73,0.7,0.56,0.79,1.7771
1.18,3.79,0.73,0.7,0.56,0.79,1.7771
3.31,3.79,0.73,0.7,0.56,0.79,1.7771
1.12,3.79,0.73,0.7,0.56,0.79,1.7771
0.82,4.02,1.81,1.85,0.55,0.77,2.025
1.49,4.02,1.81,1.85,0.55,0.77,2.025
3.44,4.02,1.81,1.85,0.55,0.77,2.025
1.07,4.02,1.81,1.85,0.55,0.77,2.025
0.18,3.1,1.51,2.02,0.6,0.67,1.7821
0.63,3.1,1.51,2.02,0.6,0.67,1.7821
2.5,3.1,1.51,2.02,0.6,0.67,1.7821
0.51,3.1,1.51,2.02,0.6,0.67,1.7821
0.92,3.79,0.73,0.7,0.56,0.79,1.7771
1.1,3.79,0.73,0.7,0.56,0.79,1.7771
3.25,3.79,0.73,0.7,0.56,0.79,1.7771
1.07,3.79,0.73,0.7,0.56,0.79,1.7771
0.38,4.02,1.81,1.85,0.55,0.77,2.025
1.4,4.02,1.81,1.85,0.55,0.77,2.025
3.45,4.02,1.81,1.85,0.55,0.77,2.025
1.04,4.02,1.81,1.85,0.55,0.77,2.025
-0.24,3.1,1.51,2.02,0.6,0.67,1.7821
0.61,3.1,1.51,2.02,0.6,0.67,1.7821
2.42,3.1,1.51,2.02,0.6,0.67,1.7821
0.09,3.1,1.51,2.02,0.6,0.67,1.7821
0.76,3.79,0.73,0.7,0.56,0.79,1.7771
0.91,3.79,0.73,0.7,0.56,0.79,1.7771
3.16,3.79,0.73,0.7,0.56,0.79,1.7771
0.94,3.79,0.73,0.7,0.56,0.79,1.7771
0.42,4.02,1.81,1.85,0.55,0.77,2.025
1.47,4.02,1.81,1.85,0.55,0.77,2.025
3.42,4.02,1.81,1.85,0.55,0.77,2.025
1.1,4.02,1.81,1.85,0.55,0.77,2.025
0.23,3.1,1.51,2.02,0.6,0.67,1.7821
0.4,3.1,1.51,2.02,0.6,0.67,1.7821
2.72,3.1,1.51,2.02,0.6,0.67,1.7821
0.87,3.1,1.51,2.02,0.6,0.67,1.7821
0.18,3.79,0.73,0.7,0.56,0.79,1.7771
0.35,3.79,0.73,0.7,0.56,0.79,1.7771
2.74,3.79,0.73,0.7,0.56,0.79,1.7771
0.61,3.79,0.73,0.7,0.56,0.79,1.7771
0.16,4.02,1.81,1.85,0.55,0.77,2.025
1.04,4.02,1.81,1.85,0.55,0.77,2.025
3.19,4.02,1.81,1.85,0.55,0.77,2.025
0.4,4.02,1.81,1.85,0.55,0.77,2.025
-0.2,3.1,1.51,2.02,0.6,0.67,1.7821
0.23,3.1,1.51,2.02,0.6,0.67,1.7821
2.13,3.1,1.51,2.02,0.6,0.67,1.7821
0.16,3.1,1.51,2.02,0.6,0.67,1.7821
3.1,2.94,1.68,1.79,0.0,1.24,2.1452
2.36,2.94,1.68,1.79,0.0,1.24,2.1452
2.32,2.94,1.68,1.79,0.0,1.24,2.1452
3.94,4.35,2.06,1.29,0.0,0.29,1.4544
4.09,4.35,2.06,1.29,0.0,0.29,1.4544
2.39,4.35,2.06,1.29,0.0,0.29,1.4544
2.53,4.35,2.06,1.29,0.0,0.29,1.4544
3.87,4.35,2.06,1.29,0.0,0.29,1.4544
4.02,4.35,2.06,1.29,0.0,0.29,1.4544
-0.04,1.43,0.02,0.28,0.0,0.54,0.8718
0.29,1.92,0.0,0.22,0.0,0.54,1.0127
0.45,2.41,0.0,0.16,0.0,0.61,1.1536
0.77,2.41,0.0,0.16,0.0,0.61,1.1536
1.38,1.99,0.61,0.52,0.0,0.14,0.7164
1.87,2.54,0.6,0.52,0.0,0.14,0.8573
2.25,3.03,0.61,0.51,0.0,0.15,0.9982
2.29,3.09,0.62,0.52,0.0,0.16,0.9982
2.11,3.63,0.66,0.56,0.0,0.16,0.9982
0.57,1.43,0.02,0.28,0.0,0.54,0.8718
0.78,1.92,0.0,0.22,0.0,0.54,1.0127
0.87,2.41,0.0,0.16,0.0,0.61,1.1536
1.15,2.41,0.0,0.16,0.0,0.61,1.1536
1.51,1.99,0.61,0.52,0.0,0.14,0.7164
1.9,2.54,0.6,0.52,0.0,0.14,0.8573
2.23,3.03,0.61,0.51,0.0,0.15,0.9982
2.24,3.09,0.62,0.52,0.0,0.16,0.9982
2.12,3.63,0.66,0.56,0.0,0.16,0.9982
1.03,1.99,0.61,0.52,0.0,0.14,0.7164
1.39,2.54,0.6,0.52,0.0,0.14,0.8573
1.62,3.03,0.61,0.51,0.0,0.15,0.9982
1.57,3.09,0.62,0.52,0.0,0.16,0.9982
1.28,3.63,0.66,0.56,0.0,0.16,0.9982
0.7,1.99,0.61,0.52,0.0,0.14,0.7164
1.16,2.54,0.6,0.52,0.0,0.14,0.8573
1.42,3.03,0.61,0.51,0.0,0.15,0.9982
1.34,3.09,0.62,0.52,0.0,0.16,0.9982
1.04,3.63,0.66,0.56,0.0,0.16,0.9982
4.1,3.17,1.34,0.92,0.0,0.2,1.0854
3.8,2.25,1.67,1.26,0.2,0.57,1.1852
4.09,3.72,1.34,0.94,0.0,0.22,1.2263
3.94,3.05,1.46,1.2,0.65,0.49,1.3007
3.82,2.69,1.52,1.05,0.61,0.37,1.1441
3.99,3.17,1.34,0.92,0.0,0.2,1.0854
3.82,2.25,1.67,1.26,0.2,0.57,1.1852
4.02,3.72,1.34,0.94,0.0,0.22,1.2263
3.68,3.05,1.46,1.2,0.65,0.49,1.3007
3.68,2.69,1.52,1.05,0.61,0.37,1.1441
3.46,1.51,0.81,0.89,0.6,0.3,0.7751
3.24,1.51,0.81,0.89,0.6,0.3,0.7751
4.0,1.51,0.81,0.89,0.6,0.3,0.7751
2.89,1.51,0.81,0.89,0.6,0.3,0.7751
4.52,4.35,2.06,1.29,0.0,0.29,1.4544
3.36,4.35,2.06,1.29,0.0,0.29,1.4544
4.71,4.35,2.06,1.29,0.0,0.29,1.4544
4.71,4.35,2.06,1.29,0.0,0.29,1.4544
4.56,4.35,2.06,1.29,0.0,0.29,1.4544
8.51,6.79,1.81,1.76,0.0,0.16,2.218
9.17,6.79,1.81,1.76,0.0,0.16,2.218
8.1,6.79,1.81,1.76,0.0,0.16,2.218
6.44,6.79,1.81,1.76,0.0,0.16,2.218
7.01,6.79,1.81,1.76,0.0,0.16,2.218
5.22,4.35,2.06,1.29,0.0,0.29,1.4544
5.56,4.35,2.06,1.29,0.0,0.29,1.4544
6.14,4.35,2.06,1.29,0.0,0.29,1.4544
7.59,4.35,2.06,1.29,0.0,0.29,1.4544
6.3,4.35,2.06,1.29,0.0,0.29,1.4544
7.47,6.79,1.81,1.76,0.0,0.16,2.218
8.18,6.79,1.81,1.76,0.0,0.16,2.218
8.1,6.79,1.81,1.76,0.0,0.16,2.218
6.47,6.79,1.81,1.76,0.0,0.16,2.218
9.48,6.79,1.81,1.76,0.0,0.16,2.218
3.38,4.35,2.06,1.29,0.0,0.29,1.4544
2.51,4.35,2.06,1.29,0.0,0.29,1.4544
4.5,4.35,2.06,1.29,0.0,0.29,1.4544
4.52,4.35,2.06,1.29,0.0,0.29,1.4544
0.69,1.08,0.96,0.96,0.26,0.41,0.8162
0.81,1.08,0.96,0.96,0.26,0.41,0.8162
0.89,1.08,0.96,0.96,0.26,0.41,0.8162
1.18,1.08,0.96,0.96,0.26,0.41,0.8162
2.46,0.0,2.2,2.34,0.7,2.52,2.3047
2.27,0.0,2.2,2.34,0.7,2.52,2.3047
3.22,0.0,2.2,2.34,0.7,2.52,2.3047
2.33,0.0,2.2,2.34,0.7,2.52,2.3047
2.03,0.0,2.2,2.34,0.7,2.52,2.3047
2.09,0.0,2.2,2.34,0.7,2.52,2.3047
2.11,0.0,2.2,2.34,0.7,2.52,2.3047
2.76,0.0,2.2,2.34,0.7,2.52,2.3047
