logKMP,Ageing_Status,Water Type,Plastic Density,SSA,Particle Size,LogKow,E,S,A,B,V,PH,Salinity,Temperature
1.17,Pristine,F,1.38,0.864,150.0,2.16,0.92,1.08,0.67,0.21,0.8975,8.0,0.005,25.0
1.61,Pristine,DI,1.38,0.864,150.0,2.8,0.96,0.82,0.54,0.17,1.0199,8.0,0.0,25.0
1.48,Pristine,S,1.38,0.864,150.0,2.8,0.96,0.82,0.54,0.17,1.0199,7.9,0.7,25.0
1.39,Pristine,F,1.38,0.864,150.0,2.8,0.96,0.82,0.54,0.17,1.0199,8.0,0.005,25.0
1.16,Pristine,DI,1.38,0.864,150.0,3.45,1.01,0.8,0.6,0.15,1.1423,8.0,0.0,25.0
0.89,Pristine,S,1.38,0.864,150.0,3.45,1.01,0.8,0.6,0.15,1.1423,7.9,0.7,25.0
0.8,Pristine,F,1.38,0.864,150.0,3.45,1.01,0.8,0.6,0.15,1.1423,8.0,0.005,25.0
4.01,Pristine,DI,1.05,,0.2,0.0,2.2,2.34,0.7,2.52,2.3047,7.0,0.0,25.0
3.71,Pristine,DI,1.05,,0.5,0.0,2.2,2.34,0.7,2.52,2.3047,7.0,0.0,25.0
1.18,Pristine,DI,0.94,,150.0,2.71,0.73,1.39,0.0,0.89,1.7106,6.0,0.03,25.0
3.26,Pristine,DI,0.94,,150.0,4.67,0.73,1.39,0.0,0.89,1.7106,6.0,0.03,25.0
3.19,Pristine,DI,0.94,,150.0,4.52,0.68,1.21,0.0,0.95,2.2742,6.0,0.03,25.0
0.76,Pristine,DI,0.94,,150.0,3.64,1.61,1.56,0.99,0.91,1.8643,6.0,0.03,25.0
2.59,Pristine,DI,0.94,,150.0,3.17,1.34,0.92,0.0,0.2,1.0854,6.0,0.03,25.0
3.91,Pristine,DI,0.94,,150.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.03,25.0
0.86,Pristine,DI,0.94,,150.0,2.82,1.22,1.29,0.17,1.01,1.6196,6.0,0.03,25.0
1.81,Pristine,DI,0.94,,150.0,2.67,1.28,1.6,0.57,0.7,1.5992,6.0,0.03,25.0
0.96,Pristine,DI,0.94,,150.0,2.69,1.52,1.05,0.61,0.37,1.1441,6.0,0.03,25.0
2.1,Pristine,DI,0.94,,150.0,2.99,1.6,1.59,0.0,0.29,1.2596,6.0,0.03,25.0
3.36,Pristine,DI,0.94,,150.0,3.81,1.42,1.0,0.0,0.14,1.2078,6.0,0.03,25.0
3.16,Pristine,DI,0.94,,150.0,3.72,1.34,0.94,0.0,0.22,1.2263,6.0,0.03,25.0
1.67,Pristine,DI,0.94,,150.0,3.97,0.83,0.95,0.53,0.41,1.4796,6.0,0.03,25.0
1.47,Pristine,DI,0.94,,150.0,3.15,0.86,0.76,0.51,0.43,1.1978,6.0,0.03,25.0
2.42,Pristine,DI,0.94,,150.0,3.52,0.6,0.5,0.0,0.15,1.1391,6.0,0.03,25.0
2.23,Pristine,DI,0.94,,150.0,2.88,0.88,0.73,0.0,0.09,0.8914,6.0,0.03,25.0
3.2,Pristine,DI,0.94,,150.0,3.76,1.36,0.99,0.0,0.26,1.3242,6.0,0.03,25.0
2.55,Pristine,DI,0.94,,150.0,3.09,0.62,0.52,0.0,0.16,0.9982,6.0,0.03,25.0
0.66,Pristine,DI,1.05,,150.0,2.71,0.73,1.39,0.0,0.89,1.7106,6.0,0.03,25.0
4.02,Pristine,DI,1.05,,150.0,4.67,0.7,1.27,0.0,0.95,2.2742,6.0,0.03,25.0
3.64,Pristine,DI,1.05,,150.0,4.52,0.68,1.21,0.0,0.95,2.2742,6.0,0.03,25.0
0.83,Pristine,DI,1.05,,150.0,3.64,1.61,1.56,0.99,0.91,1.8643,6.0,0.03,25.0
2.83,Pristine,DI,1.05,,150.0,3.17,1.34,0.92,0.0,0.2,1.0854,6.0,0.03,25.0
3.28,Pristine,DI,1.05,,150.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.03,25.0
0.25,Pristine,DI,1.05,,150.0,2.67,1.28,1.6,0.57,0.7,1.5992,6.0,0.03,25.0
0.93,Pristine,DI,1.05,,150.0,2.69,1.52,1.05,0.61,0.37,1.1441,6.0,0.03,25.0
2.15,Pristine,DI,1.05,,150.0,2.99,1.6,1.59,0.0,0.29,1.2596,6.0,0.03,25.0
3.22,Pristine,DI,1.05,,150.0,3.81,1.42,1.0,0.0,0.14,1.2078,6.0,0.03,25.0
3.03,Pristine,DI,1.05,,150.0,3.72,1.34,0.94,0.0,0.22,1.2263,6.0,0.03,25.0
1.63,Pristine,DI,1.05,,150.0,3.97,0.83,0.95,0.53,0.41,1.4796,6.0,0.03,25.0
1.45,Pristine,DI,1.05,,150.0,3.15,0.86,0.76,0.51,0.43,1.1978,6.0,0.03,25.0
3.35,Pristine,DI,1.05,,150.0,3.52,0.6,0.5,0.0,0.15,1.1391,6.0,0.03,25.0
2.73,Pristine,DI,1.05,,150.0,2.88,0.88,0.73,0.0,0.09,0.8914,6.0,0.03,25.0
3.29,Pristine,DI,1.05,,150.0,3.76,1.36,0.99,0.0,0.26,1.3242,6.0,0.03,25.0
3.22,Pristine,DI,1.05,,150.0,3.09,0.62,0.52,0.0,0.16,0.9982,6.0,0.03,25.0
2.23,Pristine,DI,1.26,,150.0,2.71,0.73,1.39,0.0,0.89,1.7106,6.0,0.03,25.0
3.88,Pristine,DI,1.26,,150.0,4.67,0.7,1.27,0.0,0.95,2.2742,6.0,0.03,25.0
3.64,Pristine,DI,1.26,,150.0,4.52,0.68,1.21,0.0,0.95,2.2742,6.0,0.03,25.0
3.17,Pristine,DI,1.26,,150.0,3.64,1.61,1.56,0.99,0.91,1.8643,6.0,0.03,25.0
3.11,Pristine,DI,1.26,,150.0,3.17,1.34,0.92,0.0,0.2,1.0854,6.0,0.03,25.0
4.45,Pristine,DI,1.26,,150.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.03,25.0
2.15,Pristine,DI,1.26,,150.0,2.82,1.22,1.29,0.17,1.01,1.6196,6.0,0.03,25.0
2.3,Pristine,DI,1.26,,150.0,2.67,1.28,1.6,0.57,0.7,1.5992,6.0,0.03,25.0
2.88,Pristine,DI,1.26,,150.0,2.69,1.52,1.05,0.61,0.37,1.1441,6.0,0.03,25.0
3.28,Pristine,DI,1.26,,150.0,2.99,1.6,1.59,0.0,0.29,1.2596,6.0,0.03,25.0
3.78,Pristine,DI,1.26,,150.0,3.81,1.42,1.0,0.0,0.14,1.2078,6.0,0.03,25.0
3.52,Pristine,DI,1.26,,150.0,3.72,1.34,0.94,0.0,0.22,1.2263,6.0,0.03,25.0
3.35,Pristine,DI,1.26,,150.0,3.97,0.83,0.95,0.53,0.41,1.4796,6.0,0.03,25.0
2.4,Pristine,DI,1.26,,150.0,3.15,0.86,0.76,0.51,0.43,1.1978,6.0,0.03,25.0
2.98,Pristine,DI,1.26,,150.0,3.52,0.6,0.5,0.0,0.15,1.1391,6.0,0.03,25.0
2.62,Pristine,DI,1.26,,150.0,2.88,0.88,0.73,0.0,0.09,0.8914,6.0,0.03,25.0
3.78,Pristine,DI,1.26,,150.0,3.76,1.36,0.99,0.0,0.26,1.3242,6.0,0.03,25.0
2.8,Pristine,DI,1.26,,,3.09,0.62,0.52,0.0,0.16,0.9982,6.0,0.03,25.0
2.16,Pristine,DI,1.15,,150.0,2.71,0.73,1.39,0.0,0.89,1.7106,6.0,0.03,25.0
3.93,Pristine,DI,1.15,,150.0,4.67,0.7,1.27,0.0,0.95,2.2742,6.0,0.03,25.0
3.91,Pristine,DI,1.15,,150.0,4.52,0.68,1.21,0.0,0.95,2.2742,6.0,0.03,25.0
2.37,Pristine,DI,1.15,,150.0,3.64,1.61,1.56,0.99,0.91,1.8643,6.0,0.03,25.0
3.29,Pristine,DI,1.15,,150.0,3.17,1.34,0.92,0.0,0.2,1.0854,6.0,0.03,25.0
4.68,Pristine,DI,1.15,,150.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.03,25.0
2.3,Pristine,DI,1.15,,150.0,2.82,1.22,1.29,0.17,1.01,1.6196,6.0,0.03,25.0
2.29,Pristine,DI,1.15,,150.0,2.67,1.28,1.6,0.57,0.7,1.5992,6.0,0.03,25.0
3.0,Pristine,DI,1.15,,150.0,2.69,1.52,1.05,0.61,0.37,1.1441,6.0,0.03,25.0
3.42,Pristine,DI,1.15,,150.0,2.99,1.6,1.59,0.0,0.29,1.2596,6.0,0.03,25.0
3.95,Pristine,DI,1.15,,150.0,3.81,1.42,1.0,0.0,0.14,1.2078,6.0,0.03,25.0
3.7,Pristine,DI,1.15,,150.0,3.72,1.34,0.94,0.0,0.22,1.2263,6.0,0.03,25.0
3.52,Pristine,DI,1.15,,150.0,3.97,0.83,0.95,0.53,0.41,1.4796,6.0,0.03,25.0
2.49,Pristine,DI,1.15,,150.0,3.15,0.86,0.76,0.51,0.43,1.1978,6.0,0.03,25.0
3.16,Pristine,DI,1.15,,150.0,3.52,0.6,0.5,0.0,0.15,1.1391,6.0,0.03,25.0
2.94,Pristine,DI,1.15,,150.0,2.88,0.88,0.73,0.0,0.09,0.8914,6.0,0.03,25.0
4.04,Pristine,DI,1.15,,150.0,3.76,1.36,0.99,0.0,0.26,1.3242,6.0,0.03,25.0
2.97,Pristine,DI,1.15,,150.0,3.09,0.62,0.52,0.0,0.16,0.9982,6.0,0.03,25.0
2.81,Pristine,S,1.05,,9.5,5.8,1.35,0.96,1.15,0.23,2.2574,7.7,0.7,20.0
2.82,Pristine,F,1.05,,9.5,5.8,1.35,0.96,1.15,0.23,2.2574,7.78,0.022,20.0
2.68,Pristine,S,1.05,,9.5,5.8,1.35,0.96,1.15,0.23,2.2574,7.7,0.7,20.0
3.04,Aged,DI,0.91,,180.0,4.66,1.73,1.55,0.47,0.45,1.8088,7.0,0.0,25.0
1.82,Pristine,DI,0.95,,100.0,0.0,2.2,2.34,0.7,2.52,2.3047,7.0,0.0,25.0
1.13,Pristine,DI,0.95,0.2354,105.0,-0.18,3.5,3.6,1.35,3.29,3.0992,5.8,0.01,25.0
1.77,Pristine,DI,0.95,0.2354,105.0,-0.18,3.5,3.6,1.35,3.29,3.0992,5.8,0.01,25.0
3.86,Pristine,DI,0.95,6.91,125.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.0,0.0026,25.0
3.38,Pristine,DI,1.05,2.35,125.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.0,0.0026,25.0
3.37,Pristine,DI,1.4,1.87,125.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.0,0.0026,25.0
2.93,Pristine,DI,0.95,1.19,225.0,4.66,1.73,1.55,0.47,0.45,1.8088,7.0,0.03,20.0
2.44,Pristine,DI,1.05,0.73,313.0,4.66,1.73,1.55,0.47,0.45,1.8088,7.0,0.03,20.0
3.51,Pristine,S,1.4,,225.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,
3.88,Pristine,S,1.4,,225.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,
3.06,Pristine,S,1.4,,225.0,6.79,1.81,1.76,0.0,0.16,2.218,8.1,0.7,
4.86,Pristine,S,1.4,,225.0,6.79,1.81,1.76,0.0,0.16,2.218,8.1,0.7,
4.69,Pristine,S,1.4,,225.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,
4.28,Pristine,S,1.4,,225.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,
4.93,Pristine,S,1.4,,225.0,6.79,1.81,1.76,0.0,0.16,2.218,8.1,0.7,
4.96,Pristine,S,1.4,,225.0,6.79,1.81,1.76,0.0,0.16,2.218,8.1,0.7,
4.23,Pristine,DI,1.05,,0.1219,3.17,1.34,0.92,0.0,0.2,1.0854,7.0,0.0005,25.0
4.42,Pristine,DI,1.05,,0.1219,3.17,1.34,0.92,0.0,0.2,1.0854,7.0,0.0005,25.0
4.34,Pristine,DI,1.05,,0.1219,3.17,1.34,0.92,0.0,0.2,1.0854,7.0,0.05,25.0
3.26,Pristine,SF,0.95,6.91,125.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.0,,20.0
3.24,Pristine,SF,0.95,6.91,125.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.0,,20.0
3.2,Pristine,SF,0.95,6.91,125.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.0,,20.0
3.18,Pristine,SF,0.95,6.91,125.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.0,,20.0
3.18,Pristine,SF,0.95,6.91,125.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.0,,20.0
2.34,Pristine,SF,1.05,2.35,125.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.0,,20.0
2.3,Pristine,SF,1.05,2.35,125.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.0,,20.0
2.28,Pristine,SF,1.05,2.35,125.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.0,,20.0
2.25,Pristine,SF,1.05,2.35,125.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.0,,20.0
2.25,Pristine,SF,1.05,2.35,125.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.0,,20.0
2.32,Pristine,SF,1.4,1.87,125.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.0,,20.0
2.26,Pristine,SF,1.4,1.87,125.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.0,,20.0
2.23,Pristine,SF,1.4,1.87,125.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.0,,20.0
2.19,Pristine,SF,1.4,1.87,125.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.0,,20.0
2.19,Pristine,SF,1.4,1.87,125.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.0,,20.0
1.5,Pristine,DI,1.05,0.32,50.4,2.07,1.6,1.72,0.36,2.15,3.0239,6.5,0.01,25.0
2.87,Pristine,DI,1.4,,140.0,4.35,2.29,1.34,0.0,0.28,1.4544,6.0,0.0,25.0
2.33,Pristine,DI,1.05,3.09,100.0,1.58,2.59,2.01,0.0,2.3,2.9165,6.0,0.0,25.0
2.33,Pristine,DI,1.05,3.83,100.0,3.67,1.28,1.94,0.0,1.27,2.4713,6.0,0.0,25.0
2.08,Pristine,DI,0.95,3.09,100.0,1.58,2.59,2.01,0.0,2.3,2.9165,6.0,0.0,25.0
2.09,Pristine,DI,0.95,3.83,100.0,3.67,1.28,1.94,0.0,1.27,2.4713,6.0,0.0,25.0
1.05,Pristine,DI,1.05,,4000.0,6.77,2.32,1.45,0.0,0.34,2.0829,6.0,0.0,25.0
1.64,Pristine,DI,1.05,2.03,725.0,-2.9,3.6,3.05,1.65,3.5,3.1579,6.5,0.01,25.0
2.65,Aged,DI,1.05,2.03,725.0,-2.9,3.6,3.05,1.65,3.5,3.1579,6.5,0.01,25.0
4.01,Pristine,DI,0.96,0.49,180.0,4.35,2.06,1.29,0.0,0.29,1.4544,7.0,0.03,25.0
4.79,Pristine,DI,1.14,0.544,29.7,3.94,1.8,1.77,0.86,1.1,2.1988,7.1,0.0,25.0
3.37,Pristine,DI,0.955,0.415,54.4,3.94,1.8,1.77,0.86,1.1,2.1988,7.1,0.0,25.0
2.91,Pristine,DI,0.94,0.428,510.9,3.94,1.8,1.77,0.86,1.1,2.1988,7.1,0.0,25.0
2.05,Pristine,DI,0.91,0.964,144.4,3.94,1.8,1.77,0.86,1.1,2.1988,7.1,0.0,25.0
1.64,Pristine,DI,0.93,0.257,150.0,3.94,1.8,1.77,0.86,1.1,2.1988,7.1,0.0,25.0
1.62,Pristine,DI,0.92,0.843,9.5,3.94,1.8,1.77,0.86,1.1,2.1988,7.1,0.0,25.0
1.45,Pristine,DI,1.05,0.343,59.0,3.94,1.8,1.77,0.86,1.1,2.1988,7.1,0.0,25.0
1.39,Pristine,DI,1.2,0.319,21.4,3.94,1.8,1.77,0.86,1.1,2.1988,7.1,0.0,25.0
1.15,Pristine,DI,1.4,1.03,80.0,3.94,1.8,1.77,0.86,1.1,2.1988,7.1,0.0,25.0
1.2,Pristine,DI,1.18,0.164,350.0,3.94,1.8,1.77,0.86,1.1,2.1988,7.1,0.0,25.0
0.9,Pristine,DI,1.4,,75.0,2.71,0.73,1.39,0.0,0.89,1.7106,6.0,0.0,25.0
2.9,Pristine,DI,1.4,,75.0,4.67,0.7,1.27,0.0,0.95,2.2742,6.0,0.0,25.0
0.95,Pristine,DI,0.95,7.158,75.0,2.71,0.73,1.39,0.0,0.89,1.7106,6.0,0.0,25.0
2.95,Pristine,DI,0.95,7.158,75.0,4.67,0.7,1.27,0.0,0.95,2.2742,6.0,0.0,25.0
1.23,Pristine,DI,1.05,,75.0,2.71,0.73,1.39,0.0,0.89,1.7106,6.0,0.0,25.0
3.31,Pristine,DI,1.05,,75.0,4.67,0.7,1.27,0.0,0.95,2.2742,6.0,0.0,25.0
2.13,Pristine,DI,0.95,,28.0,-0.18,3.5,3.6,1.35,3.29,3.0992,5.5,0.0,25.0
2.07,Pristine,DI,0.95,,48.0,-0.18,3.5,3.6,1.35,3.29,3.0992,5.5,0.0,25.0
1.8,Pristine,DI,0.95,,125.0,-0.18,3.5,3.6,1.35,3.29,3.0992,5.5,0.0,25.0
2.07,Pristine,DI,0.95,,250.0,-0.18,3.5,3.6,1.35,3.29,3.0992,5.5,0.0,25.0
2.01,Pristine,DI,0.95,,590.0,-0.18,3.5,3.6,1.35,3.29,3.0992,5.5,0.0,25.0
1.78,Pristine,DI,1.05,,74.0,-0.18,3.5,3.6,1.35,3.29,3.0992,5.5,0.0,25.0
1.89,Pristine,DI,1.4,,74.0,-0.18,3.5,3.6,1.35,3.29,3.0992,5.5,0.0,25.0
1.31,Pristine,SF,1.4,0.196,200.0,-0.31,1.98,2.5,0.05,2.39,2.2724,7.0,0.01,25.0
1.22,Pristine,F,1.4,0.196,200.0,-0.31,1.98,2.5,0.05,2.39,2.2724,7.8,0.0,25.0
0.96,Pristine,SF,1.05,0.165,200.0,-0.31,1.98,2.5,0.05,2.39,2.2724,7.0,0.01,25.0
1.21,Pristine,F,1.05,0.165,200.0,-0.31,1.98,2.5,0.05,2.39,2.2724,7.8,0.0,25.0
0.81,Pristine,SF,0.95,0.544,200.0,-0.31,1.98,2.5,0.05,2.39,2.2724,7.0,0.01,25.0
0.93,Pristine,F,0.95,0.544,200.0,-0.31,1.98,2.5,0.05,2.39,2.2724,7.8,0.0,25.0
0.72,Pristine,SF,,0.322,200.0,-0.31,1.98,2.5,0.05,2.39,2.2724,7.0,0.01,25.0
0.84,Pristine,F,,0.322,200.0,-0.31,1.98,2.5,0.05,2.39,2.2724,7.8,0.0,25.0
1.11,Pristine,DI,0.94,0.428,510.9,3.64,1.61,1.56,0.99,0.91,1.8643,7.1,0.0,25.0
0.87,Pristine,DI,0.93,0.257,150.0,3.64,1.61,1.56,0.99,0.91,1.8643,7.1,0.0,25.0
1.15,Pristine,DI,0.955,0.415,54.4,3.64,1.61,1.56,0.99,0.91,1.8643,7.1,0.0,25.0
0.3,Pristine,DI,0.91,0.964,144.4,3.64,1.61,1.56,0.99,0.91,1.8643,7.1,0.0,25.0
1.28,Pristine,DI,1.05,0.343,59.0,3.64,1.61,1.56,0.99,0.91,1.8643,7.1,0.0,25.0
-0.25,Pristine,DI,1.4,1.03,80.0,3.64,1.61,1.56,0.99,0.91,1.8643,7.1,0.0,25.0
4.94,Pristine,DI,1.14,0.544,29.7,3.64,1.61,1.56,0.99,0.91,1.8643,7.1,0.0,25.0
0.19,Pristine,DI,1.18,0.164,350.0,3.64,1.61,1.56,0.99,0.91,1.8643,7.1,0.0,25.0
0.68,Pristine,DI,1.38,,,3.64,1.61,1.56,0.99,0.91,1.8643,7.1,0.0,25.0
3.06,Pristine,DI,1.25,,,3.64,1.61,1.56,0.99,0.91,1.8643,7.1,0.0,25.0
2.93,Pristine,DI,1.38,,2000.0,3.17,1.34,0.92,0.0,0.2,1.0854,6.0,0.0,25.0
1.5,Pristine,DI,1.38,,2000.0,3.17,1.34,0.92,0.0,0.2,1.0854,6.0,0.0,25.0
1.65,Pristine,DI,1.38,,2000.0,3.17,1.34,0.92,0.0,0.2,1.0854,6.0,0.0,25.0
1.16,Pristine,DI,1.38,,2000.0,3.17,1.34,0.92,0.0,0.2,1.0854,6.0,0.0,25.0
2.45,Pristine,DI,1.38,,2000.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.0,25.0
1.51,Pristine,DI,1.38,,2000.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.0,25.0
2.44,Pristine,DI,1.38,,2000.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.0,25.0
0.84,Pristine,DI,1.38,,2000.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.0,25.0
3.13,Pristine,DI,1.38,,2000.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.0,25.0
4.56,Pristine,S,0.95,4.37,225.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,18.0
3.29,Pristine,S,0.9,1.56,225.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,18.0
3.36,Pristine,S,1.4,,225.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,18.0
3.37,Pristine,S,1.4,1.76,127.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,18.0
3.52,Pristine,DI,1.05,0.4,170.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.0,25.0
3.61,Pristine,DI,1.05,0.9,102.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.0,25.0
3.62,Pristine,DI,1.05,1.3,50.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.0,25.0
3.74,Pristine,DI,1.05,1.4,30.0,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.0,25.0
4.1,Pristine,DI,1.05,7.2,0.8,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.0,25.0
4.2,Pristine,DI,1.05,24.6,0.235,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.0,25.0
4.27,Pristine,DI,1.05,63.4,0.05,4.35,2.06,1.29,0.0,0.29,1.4544,6.0,0.0,25.0
1.73,Pristine,DI,1.05,0.4,170.0,1.81,0.87,1.11,0.0,0.28,0.8906,6.0,0.0,25.0
2.15,Pristine,DI,1.05,0.9,102.0,1.81,0.87,1.11,0.0,0.28,0.8906,6.0,0.0,25.0
2.43,Pristine,DI,1.05,1.3,50.0,1.81,0.87,1.11,0.0,0.28,0.8906,6.0,0.0,25.0
2.57,Pristine,DI,1.05,1.4,30.0,1.81,0.87,1.11,0.0,0.28,0.8906,6.0,0.0,25.0
2.84,Pristine,DI,1.05,7.2,0.8,1.81,0.87,1.11,0.0,0.28,0.8906,6.0,0.0,25.0
3.19,Pristine,DI,1.05,24.6,0.235,1.81,0.87,1.11,0.0,0.28,0.8906,6.0,0.0,25.0
3.19,Pristine,DI,1.05,63.4,0.05,1.81,0.87,1.11,0.0,0.28,0.8906,6.0,0.0,25.0
2.35,Pristine,DI,1.05,1.79,550.0,3.52,1.65,1.63,0.0,0.62,1.7391,6.0,0.0,20.0
2.49,Pristine,DI,1.05,2.57,250.0,3.52,1.65,1.63,0.0,0.62,1.7391,6.0,0.0,20.0
2.59,Pristine,DI,1.05,3.63,75.0,3.52,1.65,1.63,0.0,0.62,1.7391,6.0,0.0,20.0
2.75,Pristine,DI,1.05,21.55,5.0,3.52,1.65,1.63,0.0,0.62,1.7391,6.0,0.0,20.0
2.84,Pristine,DI,1.05,28.97,0.5,3.52,1.65,1.63,0.0,0.62,1.7391,6.0,0.0,20.0
2.13,Pristine,DI,0.95,1.64,550.0,3.52,1.65,1.63,0.0,0.62,1.7391,6.0,0.0,20.0
2.33,Pristine,DI,0.95,1.9,250.0,3.52,1.65,1.63,0.0,0.62,1.7391,6.0,0.0,20.0
2.45,Pristine,DI,0.95,2.87,75.0,3.52,1.65,1.63,0.0,0.62,1.7391,6.0,0.0,20.0
1.93,Pristine,DI,0.9,1.55,550.0,3.52,1.65,1.63,0.0,0.62,1.7391,6.0,0.0,20.0
2.28,Pristine,DI,0.9,1.84,250.0,3.52,1.65,1.63,0.0,0.62,1.7391,6.0,0.0,20.0
2.48,Pristine,DI,0.9,3.33,75.0,3.52,1.65,1.63,0.0,0.62,1.7391,6.0,0.0,20.0
4.84,Pristine,SS,1.26,2.21,2338.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.0,0.6,25.0
4.17,Pristine,SS,0.95,4.4,2628.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.0,0.6,25.0
4.13,Pristine,SS,0.95,2.47,400.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.0,0.6,25.0
3.15,Pristine,SS,1.05,0.92,250.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.0,0.6,25.0
2.82,Pristine,DI,0.95,,46.5,0.48,1.89,2.23,0.58,1.29,1.7244,6.85,0.03,24.0
3.34,Pristine,DI,0.95,,46.5,2.6,1.84,1.43,0.44,1.31,2.148,6.85,0.03,24.0
3.5,Pristine,DI,0.95,,46.5,5.29,1.83,1.5,0.1,0.82,2.2647,6.85,0.03,24.0
2.34,Pristine,DI,1.05,,75.0,0.0,2.2,2.34,0.7,2.52,2.3047,7.0,0.0,25.0
2.47,Pristine,DI,1.4,,75.0,0.0,2.2,2.34,0.7,2.52,2.3047,7.0,0.0,25.0
3.65,Pristine,SF,0.95,2.088,154.35,3.17,1.34,0.92,0.0,0.2,1.0854,7.23,0.0036,25.0
3.8,Pristine,F,0.95,2.088,154.35,3.17,1.34,0.92,0.0,0.2,1.0854,7.45,0.0053,25.0
3.57,Pristine,SF,0.95,2.088,154.35,4.02,1.59,1.06,0.0,0.25,1.3565,7.23,0.0036,25.0
3.89,Pristine,F,0.95,2.088,154.35,4.02,1.59,1.06,0.0,0.25,1.3565,7.45,0.0053,25.0
4.22,Pristine,SF,0.95,2.088,154.35,4.8,2.38,1.55,0.0,0.24,1.5846,7.23,0.0036,25.0
4.3,Pristine,F,0.95,2.088,154.35,4.8,2.38,1.55,0.0,0.24,1.5846,7.45,0.0053,25.0
4.82,Pristine,SF,0.95,2.088,154.35,4.93,2.81,1.71,0.0,0.28,1.5846,7.23,0.0036,25.0
4.82,Pristine,F,0.95,2.088,154.35,4.93,2.81,1.71,0.0,0.28,1.5846,7.45,0.0053,25.0
3.62,Pristine,SF,0.95,0.248,3000.0,3.17,1.34,0.92,0.0,0.2,1.0854,7.23,0.0036,25.0
3.55,Pristine,F,0.95,0.248,3000.0,3.17,1.34,0.92,0.0,0.2,1.0854,7.45,0.0053,25.0
3.8,Pristine,SF,0.95,0.248,3000.0,4.02,1.59,1.06,0.0,0.25,1.3565,7.23,0.0036,25.0
3.68,Pristine,F,0.95,0.248,3000.0,4.02,1.59,1.06,0.0,0.25,1.3565,7.45,0.0053,25.0
4.02,Pristine,SF,0.95,0.248,3000.0,4.8,2.38,1.55,0.0,0.24,1.5846,7.23,0.0036,25.0
4.03,Pristine,F,0.95,0.248,3000.0,4.8,2.38,1.55,0.0,0.24,1.5846,7.45,0.0053,25.0
4.32,Pristine,SF,0.95,0.248,3000.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.23,0.0036,25.0
4.19,Pristine,F,0.95,0.248,3000.0,4.93,2.81,1.71,0.0,0.28,1.5846,7.45,0.0053,25.0
3.92,Pristine,SF,0.95,0.66,219.0,3.17,1.34,0.92,0.0,0.2,1.0854,7.23,0.0036,25.0
4.04,Pristine,F,0.95,0.66,219.0,3.17,1.34,0.92,0.0,0.2,1.0854,7.45,0.0053,25.0
4.0,Pristine,SF,0.95,0.66,219.0,4.02,1.59,1.06,0.0,0.25,1.3565,7.23,0.0036,25.0
