logKMP,Ageing_Status,Water Type,Plastic Density,SSA,Particle Size,LogKow,E,S,A,B,V,PH,Salinity,Temperature
1.78,Pristine,DI,1.05,,74.0,-0.18,3.5,3.6,1.35,3.29,3.0992,5.5,0.0,25.0
1.89,Pristine,DI,1.4,,74.0,-0.18,3.5,3.6,1.35,3.29,3.0992,5.5,0.0,25.0
1.23,Pristine,DI,1.05,,75.0,2.71,0.73,1.39,0.0,0.89,1.7106,6.0,0.0,25.0
0.95,Pristine,DI,0.95,,75.0,2.71,0.73,1.39,0.0,0.89,1.7106,6.0,0.0,25.0
0.93,Pristine,DI,1.4,,75.0,2.71,0.73,1.39,0.0,0.89,1.7106,6.0,0.0,25.0
3.31,Pristine,DI,1.05,,75.0,4.67,0.7,1.27,0.0,0.95,2.2742,6.0,0.0,25.0
2.95,Pristine,DI,0.95,,75.0,4.67,0.7,1.27,0.0,0.95,2.2742,6.0,0.0,25.0
2.9,Pristine,DI,1.4,,75.0,4.67,0.7,1.27,0.0,0.95,2.2742,6.0,0.0,25.0
1.71,Pristine,DI,0.9,,117.29,0.0,2.2,2.34,0.7,2.52,2.3047,7.0,0.0,25.0
1.73,Pristine,DI,1.05,,132.05,0.0,2.2,2.34,0.7,2.52,2.3047,7.1,0.0,25.0
1.76,Pristine,DI,1.4,,86.92,0.0,2.2,2.34,0.7,2.52,2.3047,7.1,0.0,25.0
1.72,Pristine,DI,0.95,,149.1,0.0,2.2,2.34,0.7,2.52,2.3047,6.9,0.0,25.0
2.04,Pristine,DI,1.14,,134.2,0.0,2.2,2.34,0.7,2.52,2.3047,6.7,0.0,25.0
0.94,Pristine,DI,0.9,,117.29,0.73,1.89,2.5,0.21,1.69,2.1813,7.0,0.0,25.0
0.98,Pristine,DI,1.05,,132.05,0.73,1.89,2.5,0.21,1.69,2.1813,7.1,0.0,25.0
1.07,Pristine,DI,1.4,,86.92,0.73,1.89,2.5,0.21,1.69,2.1813,7.1,0.0,25.0
