logKd,MPs types,Ageing_Status,Plastic Density,SSA,Particle Size
5.0,PE,Pristine,0.95,,25.0
4.7,PE,Pristine,0.95,,25.0
5.3,PE,Pristine,0.95,,25.0
5.2,PE,Pristine,0.95,,25.0
4.3,PE,Pristine,0.95,,25.0
4.3,PE,Pristine,0.95,,25.0
5.083,PE,Pristine,0.95,,25.0
5.301,PE,Pristine,0.95,,25.0
4.98,PP,Pristine,0.9,,3000.0
5.09,PP,Pristine,0.9,,3000.0
5.09,PP,Pristine,0.9,,3000.0
5.14,PP,Pristine,0.9,,3000.0
5.63,PP,Pristine,0.9,,3000.0
5.26,PP,Pristine,0.9,,3000.0
5.71,PP,Pristine,0.9,,3000.0
5.77,PP,Pristine,0.9,,3000.0
5.51,PP,Pristine,0.9,,3000.0
5.26,PP,Pristine,0.9,,3000.0
5.63,PP,Pristine,0.9,,3000.0
5.51,PP,Pristine,0.9,,3000.0
6.19,PP,Pristine,0.9,,3000.0
6.06,PP,Pristine,0.9,,3000.0
6.19,PP,Pristine,0.9,,3000.0
5.77,PP,Pristine,0.9,,3000.0
4.5,PE,Pristine,0.94,,125.0
4.21,PP,Pristine,0.91,,125.0
4.42,PS,Pristine,1.05,,125.0
2.75,PE,Pristine,0.95,0.2341,150.0
2.45,PE,Pristine,0.95,,150.0
1.95,PS,Pristine,1.05,,250.0
2.21,PVC,Pristine,1.4,,230.0
0.08,PE,Pristine,0.95,12.1,5000.0
2.78,PE,Pristine,0.95,12.1,5000.0
0.9,PE,Pristine,0.95,12.1,5000.0
1.27,PE,Aged,0.95,13.6,5000.0
3.0,PE,Aged,0.95,13.6,5000.0
1.77,PE,Aged,0.95,13.6,5000.0
-0.94,PS,Pristine,1.05,0.93,100.0
-0.14,PS,Pristine,1.05,0.93,100.0
4.37,PE,Pristine,0.95,2.088,154.35
4.37,PE,Pristine,0.95,2.088,154.35
4.34,PE,Pristine,0.95,2.088,154.35
3.9,PE,Pristine,0.95,2.088,154.35
3.74,PE,Pristine,0.95,2.088,154.35
4.06,PE,Pristine,0.95,2.088,154.35
4.46,PE,Pristine,0.95,2.088,154.35
4.6,PE,Pristine,0.95,2.088,154.35
4.26,PE,Pristine,0.95,2.088,154.35
4.66,PE,Pristine,0.95,2.088,154.35
4.36,PE,Pristine,0.95,2.088,154.35
4.43,PE,Pristine,0.95,2.088,154.35
3.92,PE,Pristine,0.95,0.66,132.5
4.24,PE,Pristine,0.95,0.66,132.5
3.74,PE,Pristine,0.95,0.66,132.5
3.94,PE,Pristine,0.95,0.66,132.5
