logKd,MPs types,Ageing_Status,Plastic Density,SSA,Particle Size
3.44,PE,Pristine,0.95,,25.0
1.07,PE,Pristine,0.95,,25.0
0.18,PE,Pristine,0.95,,25.0
0.63,PE,Pristine,0.95,,25.0
2.5,PE,Pristine,0.95,,25.0
0.51,PE,Pristine,0.95,,25.0
0.92,PE,Pristine,0.95,,25.0
1.1,PE,Pristine,0.95,,25.0
3.25,PE,Pristine,0.95,,25.0
1.07,PE,Pristine,0.95,,25.0
0.38,PE,Pristine,0.95,,25.0
1.4,PE,Pristine,0.95,,25.0
3.45,PE,Pristine,0.95,,25.0
1.04,PE,Pristine,0.95,,25.0
-0.24,PE,Pristine,0.95,,25.0
0.61,PE,Pristine,0.95,,25.0
2.42,PE,Pristine,0.95,,25.0
0.09,PE,Pristine,0.95,,25.0
0.76,PS,Pristine,1.05,,25.0
0.91,PS,Pristine,1.05,,25.0
3.16,PS,Pristine,1.05,,25.0
0.94,PS,Pristine,1.05,,25.0
0.42,PS,Pristine,1.05,,25.0
1.47,PS,Pristine,1.05,,25.0
3.42,PS,Pristine,1.05,,25.0
1.1,PS,Pristine,1.05,,25.0
0.23,PS,Pristine,1.05,,25.0
0.4,PS,Pristine,1.05,,25.0
2.72,PS,Pristine,1.05,,25.0
0.87,PS,Pristine,1.05,,25.0
0.18,PP,Pristine,0.9,,25.0
0.35,PP,Pristine,0.9,,25.0
2.74,PP,Pristine,0.9,,25.0
0.61,PP,Pristine,0.9,,25.0
0.16,PP,Pristine,0.9,,25.0
1.04,PP,Pristine,0.9,,25.0
3.19,PP,Pristine,0.9,,25.0
0.4,PP,Pristine,0.9,,25.0
-0.2,PP,Pristine,0.9,,25.0
0.23,PP,Pristine,0.9,,25.0
2.13,PP,Pristine,0.9,,25.0
0.16,PP,Pristine,0.9,,25.0
3.1,PBS,Pristine,1.26,0.601,112.5
2.36,PE,Pristine,0.95,0.553,112.5
2.32,PVC,Pristine,1.4,0.144,112.5
3.94,PE,Pristine,0.95,,2500.0
4.09,PE,Pristine,0.95,,2500.0
2.39,PP,Pristine,0.9,,2000.0
2.53,PP,Pristine,0.9,,2000.0
3.87,POM,Pristine,1.41,,2500.0
4.02,POM,Pristine,1.41,,2500.0
-0.04,PP,Pristine,0.9,,4000.0
0.29,PP,Pristine,0.9,,4000.0
0.45,PP,Pristine,0.9,,4000.0
0.77,PP,Pristine,0.9,,4000.0
1.38,PP,Pristine,0.9,,4000.0
1.87,PP,Pristine,0.9,,4000.0
2.25,PP,Pristine,0.9,,4000.0
2.29,PP,Pristine,0.9,,4000.0
2.11,PP,Pristine,0.9,,4000.0
0.57,PP,Aged,0.9,,4000.0
0.78,PP,Aged,0.9,,4000.0
0.87,PP,Aged,0.9,,4000.0
1.15,PP,Aged,0.9,,4000.0
1.51,PP,Aged,0.9,,4000.0
1.9,PP,Aged,0.9,,4000.0
2.23,PP,Aged,0.9,,4000.0
2.24,PP,Aged,0.9,,4000.0
2.12,PP,Aged,0.9,,4000.0
1.03,PS,Pristine,1.05,,3500.0
1.39,PS,Pristine,1.05,,3500.0
1.62,PS,Pristine,1.05,,3500.0
1.57,PS,Pristine,1.05,,3500.0
1.28,PS,Pristine,1.05,,3500.0
0.7,PS,Aged,1.05,,3500.0
1.16,PS,Aged,1.05,,3500.0
1.42,PS,Aged,1.05,,3500.0
1.34,PS,Aged,1.05,,3500.0
1.04,PS,Aged,1.05,,3500.0
4.1,PS,Pristine,1.05,,10.0
3.8,PS,Pristine,1.05,,10.0
4.09,PS,Pristine,1.05,,10.0
3.94,PS,Pristine,1.05,,10.0
3.82,PS,Pristine,1.05,,10.0
3.99,PS,Pristine,1.05,,10.0
3.82,PS,Pristine,1.05,,10.0
4.02,PS,Pristine,1.05,,10.0
3.68,PS,Pristine,1.05,,10.0
3.68,PS,Pristine,1.05,,10.0
3.46,PET,Aged,1.4,,2700.0
3.24,PS,Aged,1.1,,3100.0
4.0,PVC,Aged,1.4,,4300.0
2.89,PP,Aged,0.9,,3400.0
4.52,PVC,Pristine,1.4,,225.0
3.36,PVC,Pristine,1.4,,225.0
4.71,PVC,Pristine,1.4,,225.0
4.71,PVC,Pristine,1.4,,225.0
4.56,PVC,Pristine,1.4,,225.0
8.51,PVC,Pristine,1.4,,225.0
9.17,PVC,Pristine,1.4,,225.0
8.1,PVC,Pristine,1.4,,225.0
6.44,PVC,Pristine,1.4,,225.0
7.01,PVC,Pristine,1.4,,225.0
5.22,PE,Pristine,0.95,,225.0
5.56,PE,Pristine,0.95,,225.0
6.14,PE,Pristine,0.95,,225.0
7.59,PE,Pristine,0.95,,225.0
6.3,PE,Pristine,0.95,,225.0
7.47,PE,Pristine,0.95,,225.0
8.18,PE,Pristine,0.95,,225.0
8.1,PE,Pristine,0.95,,225.0
6.47,PE,Pristine,0.95,,225.0
9.48,PE,Pristine,0.95,,225.0
3.38,PE,Pristine,0.96,0.025,530.0
2.51,PE,Aged,0.96,0.019,530.0
4.5,PP,Pristine,0.9,0.025,545.0
4.52,PP,Aged,0.9,0.015,545.0
0.69,PS,Pristine,1.05,,725.0
0.81,PS,Pristine,1.05,0.4044,367.5
0.89,PS,Pristine,1.05,0.3736,242.0
1.18,PS,Pristine,1.05,0.7214,125.0
2.46,PLA,Pristine,1.25,,685.23
2.27,PLA,Aged,1.25,,478.62
3.22,PLA,Aged,1.25,,478.62
2.33,PLA,Aged,1.25,,478.62
2.03,PP,Pristine,0.9,,515.42
2.09,PP,Aged,0.9,,331.58
2.11,PP,Aged,0.9,,331.58
2.76,PP,Aged,0.9,,331.58
